id,nome,categoria,subcategoria,descricao,unidade,destaque,ativo,foto_arquivo,badge,fotos_extras
1,Porta Londres,Portas,Sólidas,A mais vendida da linha sólida. Design premium que se adapta a qualquer ambiente.,un,sim,sim,folha londres.jpg,,porta londres simulacao.png
2,Porta Tabicão,Portas,Sólidas,Porta com tabuletas que facilitam limpeza e garantem boa ventilação.,un,sim,sim,porta tabicao nova.png,,porta tabicao nova aberta.png|porta tabicao simulacao.png
3,Janela Lateral Colmeia,Janelas,Especial,Porta sólida com laterais em colmeia para maior ventilação e estilo.,un,sim,sim,janela Lateral Colmeia.jpg,,janela-Lateral Colmeia simulacao.png
4,Porta 2 em 1,Portas,Sólidas,Design versátil com dois estilos em uma única folha.,un,sim,sim,porta-solida-2em1.png,,
5,Porta Ripada,Portas,Sólidas,Design moderno com ripas verticais e puxador preto. O modelo mais arrojado da linha.,un,sim,sim,Ripada Folha.jpg,mais-vendido,Ripada Com Puxador.jpg|Ripada Simulacao.jpg
6,Porta Ondulada,Portas,Sólidas,Porta artesanal com entalhes ondulados que formam um padrão único e exclusivo.,un,sim,sim,Porta Ondulada.jpg,,Porta Ondulada Simulação.png
7,Porta Almofada Arqueada,Portas,Sólidas,Porta clássica com 15 almofadas e arco superior. Elegância atemporal.,un,sim,sim,almofada arqueada.png,,almofada arqueada simulaçao.png
8,Porta Almofada Sacada,Portas,Sólidas,Porta com almofadas sacadas em relevo. Acabamento nobre e imponente.,un,sim,sim,almofada sacada.jpg,,almofada sacada simulaçao.png
9,Porta Trabalhada Flor,Portas,Sólidas,Porta exclusiva com entalhes florais esculpidos em 3 painéis. Peça artesanal.,un,sim,sim,trabalhada flor.jpg,,
10,Porta Itaparica,Portas,Sólidas,Porta com 4 almofadas curvas em arco assimétrico. Referência em elegância.,un,sim,sim,itaparica.jpg,,itaparica simulaçao.png
11,Porta Magna,Portas,Sólidas,Porta com frisos diagonais modernos. Diferencial absoluto no acabamento.,un,sim,sim,magna.jpg,,
12,Porta Londres 2 Vidros,Portas,Sólidas,Versão da Londres com 2 vidros centrais. Ideal para ambientes que pedem mais luz.,un,sim,sim,Londres 2 Vidros.jpg,,Londres 2 vidros simulacao.png
13,Porta Londres c/ Laterais Veneziana,Portas,Sólidas,Conjunto porta Londres com 2 vidros e 2 laterais fixas em veneziana.,cj,sim,sim,Londe 2 Vidros 2 Laterais Veneziana.jpg,,Londe 2 Vidros 2 Laterais Veneziana Simulaçao.png
14,Porta c/ Passagem para PET,Portas,Sólidas,Porta com abertura para PET na parte inferior. Prática e funcional.,un,sim,sim,Porta com Passagem para PET.jpg,,
